after_super_class,bad_match_reason,candidates_after_super_class_guards,candidates_total,is_bad_match,match_percent,price,reason_code,ref_super_class,reference_name,rejected_by_anchor,rejected_by_forbidden,selected_name,selected_super_class,status
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,СКРЕМБЛ цыпленок с грибами с/м 150 гр. Qummy,,,,,not_found
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,УДОН с курицей и овощами с/м 250 гр. Qummy,,,,,not_found
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,БОБЫ соевые зелёные Эдамаме Premium в стручках с/м 500 гр. Don Kreveton,,,,,not_found
,,19,,False,34,491.0,,vegetables.mushrooms.white,ГРИБЫ белые целые с/м 3 кг.,0,0,Грибы сухие Белые 40гр,vegetables.mushrooms.white,ok
,,18,,False,89,95.5,,fruits.клюква,КЛЮКВА садовая с/м 10 кг.,0,0,"МОРС клюква 18 шт х0,45 л, ЖИВАЯ ЯГОДА, РОССИЯ",fruits.клюква,ok
,,30,,False,76,80.0,,fruits.смородина,"СМОРОДИНА черная с/м 2,5 кг.",0,0,"МОРС черная смородина 18 шт х0,45 л, ЖИВАЯ ЯГОДА, РОССИЯ",fruits.смородина,ok
,,153,,False,31,0.65,,staples.сахар,"ШПИНАТ порционный листья с/м 2,5 кг.",0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,56,,False,100,152.84,,meat.kolbasa,"КОЛБАСКИ для жарки с пармезаном Гурме 3*100 гр. н/о с/м вес 0,3 кг. Поннат",0,0,"Колбаса с/в п/с Salame Classico Reserva (Салями Классико Резерва) Solemici МГС серв.нарезка (0,070 к",meat.kolbasa,ok
,,55,,False,100,152.84,,meat.kolbasa,"КОЛБАСКИ Улитка 2*100 гр. н/о с/м вес 0,2 кг. Поннат",0,0,"Колбаса с/в п/с Salame Classico Reserva (Салями Классико Резерва) Solemici МГС серв.нарезка (0,070 к",meat.kolbasa,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,КРЫЛЫШКИ куриные Баффало острые с/м 1 кг/16 шт. Черкизово,,,,,not_found
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,"ФРИКАДЕЛЬКИ Мясные  с/м 2,5 кг. Черкизово",,,,,not_found
,,107,,False,100,93.05,,condiments.spice,"КАРТОФЕЛЬНЫЕ дольки с кожурой и специями Fry Me Premium 2,5 кг. Ви Фрай W01",0,0,"Соль нитритная ""SpicExpert"" пакет (1,000 кг/1,010 кг) упак..",condiments.spice,ok
,,159,,False,100,283.32,,seafood.shrimp,КРЕВЕТКИ ваннамей в панировке без панциря/без головы 21/25 с/м 500 гр. FISH MORE,0,0,Креветка Ванамей Торпедо 21/25 очищенная в панировке (необжар.) с/м 200 гр (10) Vici Вьетнам,seafood.shrimp,ok
,,153,,False,46,0.65,,staples.сахар,ПЮРЕ из белого персика 1 кг. AGROBAR,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,153,,False,45,0.65,,staples.сахар,ПЮРЕ из красного апельсина 1 кг. AGROBAR,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,153,,False,48,0.65,,staples.сахар,ПЮРЕ из маракуйи с семечкой 1кг. AGROBAR,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,173,,False,66,22.0,,vegetables.картофель,"КАРТОФЕЛЬ фри 7 мм с/м 2,5 кг. IGLOТEX PROFESSIONAL",0,0,"БУЛОЧКА для гамбургера картофельная D100 мм 48 шт х52 г, BAGERSTAT, РОССИЯ",vegetables.картофель,ok
,,174,,False,86,22.0,,vegetables.картофель,"КАРТОФЕЛЬ фри с панировкой Fry Me Premium(бывш.Стелс/Stealth) 9*9 мм 2,5 кг. Ви Фрай S04",0,0,"БУЛОЧКА для гамбургера картофельная D100 мм 48 шт х52 г, BAGERSTAT, РОССИЯ",vegetables.картофель,ok
,,9,,False,55,627.15,,meat.lamb,"БАРАНИНА корейка 8 ребер зачищенная в/у с/м вес 1,2 кг. (2 шт по 0,6 кг) Prime lamb",0,0,БАРАНИНА тримминг (котлетное мясо) в/у с/м вес 4 кг. Prime lamb,meat.lamb,ok
,,12,,False,100,108.0,,meat.beef,"ГОВЯДИНА вырезка б/к пояснично-повздошная мышца с/м вес 1,5 кг. Пинск",0,1,Суповой набор из говядины вес,meat.beef,ok
,,12,,False,100,108.0,,meat.beef,ГОВЯДИНА лопаточный отруб без кости с/м вес 10 кг. Эталон,0,1,Суповой набор из говядины вес,meat.beef,ok
,,12,,False,100,108.0,,meat.beef,ГОВЯДИНА тазобедренный отруб внутренняя часть Topside огузок бескостная с/м вес 21 кг. Minerva Брази,0,1,Суповой набор из говядины вес,meat.beef,ok
,,12,,False,100,108.0,,meat.beef,ГОВЯДИНА мраморная боковая часть тазобедренного отруба б/к (Knuckle peeled) с/м вес 6 кг. Эталон,0,1,Суповой набор из говядины вес,meat.beef,ok
,,139,,False,74,75.0,,canned.говядина.тушеная,"ЩЕКА говяжья зачищенная с/м вес 0,7-1 кг Эталон",0,0,Доширак лапша говядина 90гр,canned.говядина.тушеная,ok
