item_id,name_raw,pack_base_qty,unit_type,potential_packs_needed_for_1kg,issue
afeda29e-c71c-431b-b674-7a962d0ff314,"Булочка Бородинская Мириталь (0,040 кг)",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
408c7049-0c0e-4267-8753-6d0dc42a64ce,Булочка для датского хот-дога замороженная (40 г) упак. (3175),40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
a74f3332-4900-4b2d-acd7-67e711c25e23,Печенье сэндвич с ШОКОЛАДНОЙ белковой начинкой без сахара (12х40г/480г ) упак.. Stars Coffee,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
bfe39288-755f-4102-855d-e28b76df9649,Булочка солод/кориандр (40 г),40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
b03966fc-9b45-483c-866d-954d2c63d149,Булочка деревенская 40г. (80 шт),40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
e4b7dc19-14f1-43bb-8d99-6cc7856b9f2b,Булочка Пражская 40г (80 шт),40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
9bb0b38b-440b-40d5-86da-830882453656,Булочка французская 40г. (80 шт),40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
0781063d-37b6-4399-bd2e-a28eabc73067,Пирожное Тарт шоколадный (1694) 39г (24 шт),39.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
c8698f21-3724-418d-9fce-834a50fd2c2d,Булочка деревенская 40г. (80 шт),40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
823ccd48-c38a-478f-b235-de555a0b090d,Булочка Пражская 40г (80 шт),40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
e31d7f0a-f991-49e8-901b-edb61a76d279,Булочка французская 40г. (80 шт),40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
088b4ef0-9fb1-48c4-a4b4-f622f0969c33,Пирожное Тарт шоколадный (1694) 39г (24 шт),39.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
50fa4cf0-7019-4758-9b8a-fa5a89010f50,Грибы сушеные Белые отборные 40 гр (10) Лесные угодья,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
2628a723-42b9-4210-8dd2-1a79582dfb82,Булочка мультизлаковая (зам) 40 гр*80 шт/кор. Европейский Хлеб,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
3c34f992-07d3-4ca3-aa5d-c15e9f832b7a,Булочка пражская с солодом и кориандром (зам) 40 гр*80 шт/кор. Европейский Хлеб,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
712e3248-3de6-4af5-8a45-f7d83c0cef48,Булочка французская (зам) 40 гр*80 шт/кор. Европейский Хлеб,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
ba6772d6-ad85-4ce4-b7a4-f585b75ef368,Гипфель мини с грушей (зам) 40 гр*60 шт/кор. Яркий вкус,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
6e83a2c8-ac93-41ad-a507-84ee947359c2,Гипфель мини с клубникой (зам) 40 гр*60 шт/кор. Яркий вкус,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
fb64aabe-2038-447e-8741-38edd1043cdf,Гипфель мини с кремом (зам) 40 гр*60 шт/кор. Яркий вкус,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
7dd5577b-7cc2-487a-ba7c-1ed85d7a138c,"Шоколадный Батончик Яшкино Super 40г, НДС 20%",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
b1f4bdda-88e6-4e9f-a258-88c0eda5d3be,Вафли Киндер Буэно (43г х 30) упак.,43.0,WEIGHT,23,SMALL_PACK_HIGH_COUNT_23x
73ffb120-a3ae-474a-a205-9c94b82814da,Вафли Киндер Буэно (43г х 30) упак.Stars Coffe,43.0,WEIGHT,23,SMALL_PACK_HIGH_COUNT_23x
ac5c6b41-4ce3-44f1-8d3b-ce2d51c2d9d8,ПЕРЕЦ чили нити сушеные п/б 45 гр. KOTANYI,45.0,WEIGHT,22,SMALL_PACK_HIGH_COUNT_22x
375b028f-a725-4abe-a147-550f03ba5789,M&M's шоколад Everest 6*32*45г,45.0,WEIGHT,22,SMALL_PACK_HIGH_COUNT_22x
27cc56a9-5c38-4565-b05d-18bf8f1526b5,БУМАГА пищевая в листах 280*310мм 45гр/м2 подпергамент 1000шт/кр,45.0,WEIGHT,22,SMALL_PACK_HIGH_COUNT_22x
4164ca33-5281-48ce-b949-49636c58a667,"Чипсы картофельные со вкусом белого трюфеля ""Tartufi Jimmy"" (0,045 кг) упак. .",45.0,WEIGHT,22,SMALL_PACK_HIGH_COUNT_22x
