name_raw,name_norm,super_class,brand_id,price
САЛФЕТКИ бумажные однослойные белые С211 (24*24см) 500шт 10уп/кр PROtissue,салфетки бумажные однослойные белые с211 24 24см 500шт 10уп кр protissue,disposables.napkins,,106.31
САЛФЕТКИ бумажные однослойные красные 24*24см 400шт/уп,салфетки бумажные однослойные красные 24 24см 400шт уп,disposables.napkins,,178.41
САЛФЕТКИ бумажные однослойные чёрные 24*24см 400шт/уп,салфетки бумажные однослойные черные 24 24см 400шт уп,disposables.napkins,,201.92
САЛФЕТКИ однослойные белые С184 (24*24) 100шт 1кр/40шт PROtissue,салфетки однослойные белые с184 24 24 100шт 1кр 40шт protissue,disposables.napkins,,25.65
"ТУАЛЕТНАЯ БУМАГА двухслойная в рулоне белая 5036770 21,6метров 4шт/уп OPTIMUM FOCUS",туалетная бумага двухслойная рулоне белая 21 6метров 4шт уп optimum focus,other,,78.86
ТУАЛЕТНАЯ БУМАГА двухслойная в рулоне белая С191 170метров 12шт/уп PROtissue,туалетная бумага двухслойная рулоне белая с191 170метров 12шт уп protissue,other,,125.54
ТУАЛЕТНАЯ БУМАГА однослойная в рулоне белая С231 200метров 12шт/уп PROtissue,туалетная бумага однослойная рулоне белая с231 200метров 12шт уп protissue,other,,77.08
"ПЛЕНКА пищевая полиэтиленовая 0,3*200 м 7 мкм 1 шт.",пленка пищевая полиэтиленовая 200 мкм шт,other,,127.49
"ПЛЕНКА пищевая полиэтиленовая 0,45*200м 7мкм 1шт",пленка пищевая полиэтиленовая 45 200м 7мкм 1шт,other,,190.81
БУМАГА для выпечки 40*60 см силиконизированная коричневая 500 листов (арт Т0026) 1 шт. ТЕХТОР,бумага для выпечки 40 60 силиконизированная коричневая 500 листов арт т0026 шт техтор,other,,1720.03
"ФОЛЬГА алюминиевая 0,3*70 м 9 мкм рулон 1 шт.",фольга алюминиевая 70 мкм рулон шт,other,,365.7
"ФОЛЬГА алюминиевая 0,44*70 м 9 мкм рулон 1 шт.",фольга алюминиевая 44 70 мкм рулон шт,other,,590.29
ЛЕНТА кассовая термо 57 мм*17 м 1 упак/8шт.,лента кассовая термо 57 мм 17 8шт,other,,18.0
ЛЕНТА кассовая термо 57 мм*23 м 1 упак/8 шт.,лента кассовая термо 57 мм 23 шт,other,,25.0
ЛЕНТА кассовая термо 80 мм*38 м 1 упак/6 шт.,лента кассовая термо 80 мм 38 шт,other,,57.0
ЛЕНТА кассовая термо 80 мм*70 м 1 упак/6 шт.,лента кассовая термо 80 мм 70 шт,other,,105.0
"БУМАГА оберточная парафинированная ""Газета""305х305мм 500 шт/уп Aviora",бумага оберточная парафинированная газета 305х305мм 500 шт уп aviora,other,,905.52
ПАКЕТ бумажный крафт с прямоугольным дном (220*120*290мм) 1000шт/кр EDV,пакет бумажный крафт прямоугольным дном 220 120 290мм 1000шт кр edv,other,,2.13
ПАКЕТ для продуктов и доставки с плоскими ручками 240*140*280 мм крафт 1 кор/300 шт.,пакет для продуктов доставки плоскими ручками 240 140 280 мм крафт 300 шт,other,,6.73
ПАКЕТ с кручеными ручками однослойный без печати крафт 28*24*14 см 1 кор/300 шт. Aviora,пакет кручеными ручками однослойный без печати крафт 28 24 14 300 шт aviora,other,,7.6
ПАКЕТ с кручеными ручками однослойный без печати крафт 35*26*15 см  1 кор/200 шт.,пакет кручеными ручками однослойный без печати крафт 35 26 15 200 шт,other,,8.5
ПАКЕТ с кручеными ручками однослойный без печати крафт 37*32*20 см 1 кор/200 шт. Aviora,пакет кручеными ручками однослойный без печати крафт 37 32 20 200 шт aviora,other,,10.4
ПАКЕТ фасовочный Евро НОВГ 8 мкм (18*27 см) ПНД 1000 шт.,пакет фасовочный евро новг мкм 18 27 пнд 1000 шт,other,,186.98
ПАКЕТ вакуумный 110*160мм 60мкм PA/PE 1 бл/100 шт.,пакет вакуумный 110 160мм 60мкм pa pe бл 100 шт,other,,0.89
ПАКЕТ вакуумный 200*300мм 60мкм 1бл/100шт,пакет вакуумный 200 300мм 60мкм 1бл 100шт,other,,2.88
ПАКЕТ вакуумный 400*600 мм 72 мкм 1бл/100 шт. Aviora,пакет вакуумный 400 600 мм 72 мкм 1бл 100 шт aviora,other,,19.08
ПАКЕТ вакуумный 250*350мм 60мкм PA/PE 1 бл/100 шт.,пакет вакуумный 250 350мм 60мкм pa pe бл 100 шт,other,,4.2
ПАКЕТ Майка ПНД белый 16 мкм (30+15*55 см) без печати 1 упак/100 шт.,пакет майка пнд белый 16 мкм 30 15 55 без печати 100 шт,other,,1.49
ПАКЕТ Майка ПНД красный 9 мкм (25*45 см) без печати 1 упак/100 шт.,пакет майка пнд красный мкм 25 45 без печати 100 шт,other,,0.7
ПАКЕТ Майка ПНД черный 16 мкм (30+16*57 см) без печати 1 упак/100 шт.,пакет майка пнд черный 16 мкм 30 16 57 без печати 100 шт,other,,1.46
ПАКЕТ майка прозрачный для пиццы 14 мкм (32+24*60 см) п/э без печати 1 упак/100 шт.,пакет майка прозрачный для пиццы 14 мкм 32 24 60 без печати 100 шт,other,,4.24
САЛФЕТКА вискозная Standard Т107 желтая (30х35см) 1 упак/3 шт. Textop,салфетка вискозная standard т107 желтая 30х35см шт textop,disposables.napkins,,21.35
САЛФЕТКА для пола белая 50*60 см 2203 хлопок 1 шт. YORK,салфетка для пола белая 50 60 2203 хлопок шт york,disposables.napkins,,33.26
ПЕРЧАТКИ виниловые прозрачные размер L 100 шт. SAF&TY,перчатки виниловые прозрачные размер 100 шт saf ty,disposables.gloves,,177.43
