name_raw,name_norm,super_class,brand_id,pack,price
ИМБИРЬ маринованный белый 1 кг. TAMAKI PRO,имбирь маринованный белый tamaki pro,other,,1.0,182.0
ИМБИРЬ маринованный белый 1 кг. VICIUNAI,имбирь маринованный белый viciunai,other,,1.0,169.0
ИМБИРЬ маринованный розовый 1 кг. LAIWU TAIFENG,имбирь маринованный розовый laiwu taifeng,other,,1.0,153.4
ИМБИРЬ маринованный розовый 1 кг. TABUKO грейд А,имбирь маринованный розовый tabuko грейд,other,,1.0,177.09
ИМБИРЬ маринованный розовый 1 кг. TABUKO грейд В,имбирь маринованный розовый tabuko грейд,other,,1.0,152.1
ИМБИРЬ маринованный розовый 1 кг. VICIUNAI,имбирь маринованный розовый viciunai,other,,1.0,154.7
ИМБИРЬ порционный маринованный белый 25 гр.,имбирь порционный маринованный белый,other,,0.025,10.43
ИМБИРЬ розовый порционный 30 гр.,имбирь розовый порционный,other,,0.03,11.9
КОРНИШОНЫ маринованные хрустящие 720 мл. Скатерть Самобранка,корнишоны маринованные хрустящие скатерть самобранка,other,,0.72,238.05
РЕДИС маринованный 500 гр. Midori,редис маринованный midori,other,,0.5,147.5
РЕДЬКА маринованная Takuan 600 гр. HANSEY,редька маринованная takuan hansey,other,,0.6,142.78
"ШАМПИНЬОНЫ резаные 3,1 л. UmNO",шампиньоны резаные umno,other,,3.1,475.37
УГОРЬ филе (500 гр) без в/у с/м вес 5 кг.,угорь филе без,other,,0.5,1637.1
УГОРЬ филе 16-18 yнц (450-520 гр) без в/у с/м 5 кг.,угорь филе 16 18 yнц без,other,,0.485,1568.09
УГОРЬ филе 16-20 yнц (440-560 гр) без в/у с/м 5 кг.,угорь филе 16 20 yнц без,other,,0.5,1551.5
УГОРЬ филе 16-20 yнц (440-560 гр) без в/у с/м вес 5 кг. JIANGXI XILONG FOODSTUFF,угорь филе 16 20 yнц без jiangxi xilong foodstuff,other,,0.5,1552.04
УГОРЬ филе 16-20 yнц (440-580 гр) без в/у с/м вес 5 кг. Fuqing Qixiang Food,угорь филе 16 20 yнц без fuqing qixiang food,other,,0.51,1546.15
УГОРЬ филе 21-26 yнц (588-760 гр) без в/у с/м вес 5 кг. JIANGXI XILONG,угорь филе 21 26 yнц без jiangxi xilong,other,,0.674,1508.7
УГОРЬ филе 8-10 yнц (230-300 гр) без в/у с/м вес 5 кг.,угорь филе 10 yнц без,other,,0.265,2097.2
УГОРЬ филе А с/м вес 625 гр. NIJI Platinum,угорь филе niji platinum,other,,0.625,1562.2
УГОРЬ филе в/у с/м вес 450-550 гр. RISMA,угорь филе risma,other,,0.5,1701.3
УГОРЬ филе в/у с/м вес 750 гр.,угорь филе,other,,0.75,1498.0
АССОРТИ тресковых пород кубики (90-110 гр) ГОСТ с/м вес 7 кг.,ассорти тресковых пород кубики,other,,0.1,474.6
ИЗУМИДАЙ филе тилапии 9-11oz вес (255-311 гр.) с/м RISMA,изумидай филе тилапии 11oz risma,other,,0.283,770.5
ОКУНЬ филе на коже атлант. (150 гр) с/м вес 10 кг Маргарян,окунь филе на коже атлант маргарян,other,,0.15,593.17
ОКУНЬ филе на коже СТО (90-150 гр) с/м вес 10 кг. Купеческий,окунь филе на коже сто купеческий,other,,0.12,570.65
ОКУНЬ филе с кожей СТО (80-90 гр) с/м вес 10 кг. Альфа М,окунь филе кожей сто альфа,other,,0.085,604.8
ПАНГАСИУС филе б/к (220гр) с/м вес 10 кг. Вьетнам,пангасиус филе вьетнам,other,,0.22,248.39
САЙДА филе без кожи СТО с/м вес 10 кг. Альфа-М,сайда филе без кожи сто альфа,other,,10.0,593.85
СУДАК филе на коже (400+) ГОСТ с/м вес 10 кг. Купеческий,судак филе на коже 400 купеческий,other,,10.0,742.5
СУДАК филе на коже (600 гр) с/м вес 10 кг. Альфа М,судак филе на коже альфа,other,,0.6,732.6
СУДАК филе на коже ГОСТ (300 гр) с/м вес 10 кг. Альфа М,судак филе на коже альфа,other,,0.3,721.5
СУДАК филе на коже ГОСТ (400 гр) с/м вес 10 кг. Альфа М,судак филе на коже альфа,other,,0.4,721.5
СУДАК филе с кожей СТО (300+) с/м вес 10 кг. Альфа М,судак филе кожей сто 300 альфа,other,,10.0,704.0
ТИЛАПИЯ филе без кожи (3-5) с/м вес 10 кг. Китай,тилапия филе без кожи китай,other,,10.0,383.51
ЩУКА филе без кожи ГОСТ с/м вес 10 кг. Альфа М,щука филе без кожи альфа,other,,10.0,555.5
ГОРБУША потрошеная без головы (штучная заморозка) с/м вес 26 кг. Максимовский,горбуша потрошеная без головы штучная заморозка максимовский,other,,26.0,537.65
ГОРБУША филе на коже ГОСТ (300 гр) с/м вес 10 кг. Альфа М,горбуша филе на коже альфа,other,,0.3,643.8
ГОРБУША филе на коже СТО (300 гр) с/м вес 10 кг. Альфа М,горбуша филе на коже сто альфа,other,,0.3,571.65
ГОРБУША филе на коже ТУ с/м вес 10 кг. ИП Маргарян,горбуша филе на коже ту ип маргарян,other,,10.0,689.09
КЕТА филе на коже категория А ГОСТ (600 гр) с/м вес 10 кг. Купеческий,кета филе на коже категория купеческий,other,,0.6,671.0
БАГЕТ для французского хот-дога с/м 60 гр*40 шт. Bagerstat,багет для французского хот дога 40 шт bagerstat,other,,0.06,853.15
"ГЁДЗА с цыплёнком п/ф 0,5 кг. Yoshimi",гедза цыпленком yoshimi,other,,0.5,340.6
