supplier_item_id,supplier_id,name_raw,name_norm,super_class_db,super_class_runtime,sc_confidence,brand_id_db,brand_from_text,pack_db,pack_runtime,price,data_issues
2ff32b1c-5299-4531-9393-d1c532abcf1d,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Томат резаный кубик б/з 10кг/упак Завод СБК,томат резаный кубик завод сбк,vegetables.tomato,canned.томаты.консервированные,1.0,,,10.0,10.0,1587.5,NO_BRAND
bbab675c-b284-41a7-a22f-6dca7f12df15,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Гуакамоле Cоус ""Guacamole mild"" заморож. пл./конт. (500 г) AMARA",гуакамоле cоус guacamole mild заморож пл конт amara,other,disposables.containers,0.5,,,0.5,0.5,395.65,SUPER_CLASS_OTHER|NO_BRAND
254748cb-81c9-4df7-b712-13d542d2d2c8,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Cоус Гуакамоле ""Guacamole mild"" зам.пакет (500 г) AMARA",cоус гуакамоле guacamole mild пакет amara,other,,0.1,,,0.5,0.5,357.05,SUPER_CLASS_OTHER|NO_BRAND
74c701a8-7000-4bf0-8f9e-474459c28c6b,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Перец красный кубик б/з 13кг/упак Navigul Узбекистан,перец красный кубик navigul узбекистан,canned.перец.консервированный,condiments.spice,1.0,,,13.0,13.0,1966.25,NO_BRAND
fa550070-3fac-488c-9948-9233eba0b7a6,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Томаты кубик б/з 10кг/упак Овощпром,томаты кубик овощпром,canned.томаты.консервированные,canned.томаты.консервированные,1.0,,,10.0,10.0,1175.0,NO_BRAND
ffb26ba1-0dee-44f9-9ef5-84b4ff4d256c,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Капуста цветная б/з 10кг/упак Greeny Company Египет,капуста цветная greeny company египет,vegetables.капуста,vegetables.капуста,0.78,,,10.0,10.0,1625.0,NO_BRAND
2d8e7866-666f-4b2a-9e67-360d6fa2c461,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Горошек зеленый б/з 10кг/упак Ронго,горошек зеленый ронго,canned.горошек.зеленый,canned.горошек.зеленый,0.6,,,10.0,10.0,1600.0,NO_BRAND
e7cb7614-f439-4c67-9fb4-969354385ad2,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Цветная капуста 11кг/упак Delta Египет,цветная капуста delta египет,vegetables.капуста,vegetables.капуста,0.8,,,11.0,11.0,1760.0,NO_BRAND
aa40cb5c-3cbf-42b1-b270-e7cde6fc2665,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Баклажан резаный гриль (кольцо) б/з 10кг/упак СБК,баклажан резаный гриль кольцо сбк,vegetables.баклажан,,0.26,,,10.0,10.0,1762.5,NO_BRAND
2e643bd4-42d8-439a-bf45-810d59e8015c,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Томаты кубик б/з 11кг/упак Овощпром,томаты кубик овощпром,canned.томаты.консервированные,canned.томаты.консервированные,1.0,,,11.0,11.0,1292.5,NO_BRAND
